season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
5,10,The Flaming Spittoon Acquisition,17 Nov. 2011,8.0,3202,"When Stuart asks Amy on a date, Sheldon considers having a more serious relationship with her. Meanwhile, the guys become obsessed with a new card game involving Wild West heroes and witches."
5,11,The Speckerman Recurrence,8 Dec. 2011,7.3,3150,"Leonard confronts the man who bullied him in high school, while Penny realizes she did her fair share of tormenting in the past."
5,12,The Shiny Trinket Maneuver,12 Jan. 2012,7.7,3159,Penny helps Sheldon work on his relationship with Amy when he trivializes one of her accomplishments. Howard is irked by Bernadette's dislike of children.
5,13,The Recombination Hypothesis,19 Jan. 2012,8.2,3340,Leonard and Penny contemplate reviving their romantic relationship.
5,14,The Beta Test Initiation,26 Jan. 2012,8.2,3369,Leonard and Penny develop a system to ensure their dates go smoothly. Raj finally finds a woman he can talk to - the virtual assistant on his mobile phone.
5,15,The Friendship Contraction,2 Feb. 2012,7.8,3051,"Leonard signs out of his roommate agreement, reducing himself and Sheldon to mere acquaintances, while Howard tries to think of a cool astronaut nickname for himself."
5,16,The Vacation Solution,9 Feb. 2012,7.6,3032,"When the university forces Sheldon to use vacation days, he decides to hang out in Amy's lab. Howard becomes upset when he hears Bernadette wants him to sign a prenuptial agreement."
5,17,The Rothman Disintegration,16 Feb. 2012,7.8,3107,Sheldon battles Kripke for a coveted office at the university. Penny receives a very unusual gift from Amy.
5,18,The Werewolf Transformation,23 Feb. 2012,8.2,3300,"Sheldon wreaks havoc when he tries to get a haircut from his regular barber, who is ill. Howard runs into a few problems with astronaut training."
5,19,The Weekend Vortex,8 Mar. 2012,8.2,3140,Sheldon has to choose between joining Amy at her aunt's birthday party or playing videogames all weekend with the guys.
5,20,The Transporter Malfunction,29 Mar. 2012,8.1,3266,Raj gets quite a surprise when he asks his parents to set him up on a date. Penny buys Leonard and Sheldon a pair of Star Trek keepsake collectibles.
5,21,The Hawking Excitation,5 Apr. 2012,8.6,3653,"Sheldon uses any and all means to meet his hero, Dr. Stephen Hawking."
5,22,The Stag Convergence,26 Apr. 2012,7.8,3112,"The guys throw Howard a bachelor party, and some embarrassing details about his life get posted on the Internet."
5,23,The Launch Acceleration,3 May 2012,8.1,3067,"NASA cancel, and later reinstate Howard's mission into space, coinciding with his wedding. Leonard inadvertently jeopardizes his relationship with Penny."
5,24,The Countdown Reflection,10 May 2012,8.5,3504,"As Howard prepares for his mission into space, flashbacks show the recent events leading up to his and Bernadette's wedding."
6,1,The Date Night Variable,27 Sep. 2012,7.7,3997,Raj crashes Sheldon and Amy's second anniversary and interferes in Leonard and Penny's relationship. Howard gets caught in the middle of an argument between Bernadette and his mother.
6,2,The Decoupling Fluctuation,4 Oct. 2012,7.7,3190,"Penny continues to have doubts about her relationship with Leonard. Meanwhile, Howard becomes the target of practical jokes on the space station."
6,3,The Higgs Boson Observation,11 Oct. 2012,8.0,3205,"When Sheldon hires a female grad student to assist him, a jealous Amy asks Penny to help her spy on them. On the space station, Howard begins behaving erratically."
6,4,The Re-Entry Minimization,18 Oct. 2012,8.3,3414,Howard is offended when his return from space is met with little fanfare. Penny and Amy take on Sheldon and Leonard during game night.
6,5,The Holographic Excitation,25 Oct. 2012,8.0,3175,"While Raj plans Stuart's Halloween party at the comic book store, Howard annoys the rest of the gang by constantly talking about space, and Penny tries to take more of an interest in Leonard's work."
6,6,The Extract Obliteration,1 Nov. 2012,7.9,3056,Penny enrolls in a college class and keeps it a secret from Leonard. Sheldon causes conflict with Dr. Stephen Hawking over an online game.
6,7,The Habitation Configuration,8 Nov. 2012,7.7,3022,"Howard makes a decision whether or not to move out of his mother's house, while Sheldon is caught in the middle of an argument between Amy and Wil Wheaton."
6,8,The 43 Peculiarity,15 Nov. 2012,8.5,3531,"Leonard feels threatened after hearing about Penny's study partner at school, while Howard and Raj become determined to find out one of Sheldon's secrets."
6,9,The Parking Spot Escalation,29 Nov. 2012,8.3,3419,The gang are drawn into a fight between Howard and Sheldon over Sheldon's vacant parking spot at the university.
6,10,The Fish Guts Displacement,6 Dec. 2012,8.1,3210,"Howard tries to bond with Bernadette's father during a fishing trip. When Sheldon is obligated to take care of a sick Amy, she finds ways to take advantage of the situation."
6,11,The Santa Simulation,13 Dec. 2012,7.8,3096,The girls take Raj out to a nightclub to find him a date. A game of Dungeons and Dragons rekindle old memories of Santa for Sheldon.
6,12,The Egg Salad Equivalency,3 Jan. 2013,8.4,3489,"When Penny finds out Alex has a crush on Leonard, Sheldon gets himself and the rest of the guys in trouble with Human Resources whilst trying to solve the problem."
6,13,The Bakersfield Expedition,10 Jan. 2013,8.4,3496,"The guys are stranded in the middle of nowhere when Leonard's car is stolen on the way to the Bakersfield Comic-Con. Back home, the girls try to figure out why the guys are so fascinated with comic books."
6,14,The Cooper/Kripke Inversion,31 Jan. 2013,7.8,3062,Sheldon is forced to work with Kripke on a project and must concoct an elaborate lie when he can't hold up his end of the work. Howard and Raj get superhero figurines made of themselves.
6,15,The Spoiler Alert Segmentation,7 Feb. 2013,8.2,3180,"Leonard moves in with Penny after a fight with Sheldon, which causes Amy to want to move in with Sheldon. Meanwhile, Raj has a frightening experience with Howard's mother."
6,16,The Tangible Affection Proof,14 Feb. 2013,7.9,3101,"Sheldon gets Alex to buy a Valentine's Day gift for Amy. Leonard, Penny, Howard and Bernadette have a disastrous dinner together. Raj and Stuart host a ""Lonely People"" party at the comic book store."
6,17,The Monster Isolation,21 Feb. 2013,7.6,2952,"Raj falls apart after his date sneaks out on him, and Sheldon reluctantly returns the favor after Penny helps him out with his ""Fun With Flags"" program."
6,18,The Contractual Obligation Implementation,7 Mar. 2013,7.7,3039,"Leonard, Sheldon and Howard give lectures on science to junior high students. The girls ditch work to go to Disneyland. Raj devises a date for Lucy that fixes their social anxiety problems."
6,19,The Closet Reconfiguration,14 Mar. 2013,8.1,3195,Howard becomes upset when Sheldon finds a letter from his estranged father whilst cleaning out his and Bernadette's closet.
6,20,The Tenure Turbulence,4 Apr. 2013,8.0,3097,"Leonard, Sheldon, Raj and Kripke battle for tenure at the university."
6,21,The Closure Alternative,25 Apr. 2013,8.0,3055,Amy tries to help a depressed Sheldon find closure when one of his favorite TV shows is canceled. Raj becomes paranoid when he finds Lucy's blog.
6,22,The Proton Resurgence,2 May 2013,8.0,3157,Bernadette and Howard offer to watch Raj's dog and live to regret it. Leonard and Sheldon hire their favorite childhood star to make an appearance.
6,23,The Love Spell Potential,9 May 2013,8.1,3211,"A date between Raj and Lucy takes both of them out of their comfort zones. After a trip to Las Vegas goes awry, the girls join in on a Dungeons and Dragons game, which causes Amy and Sheldon to re-evaluate their relationship."
6,24,The Bon Voyage Reaction,16 May 2013,7.8,3029,"Penny is thrown for a loop when Leonard is offered a job overseas, but the news is an even bigger shock to Sheldon. Raj and Lucy's relationship comes to a crossroad."
7,1,The Hofstadter Insufficiency,26 Sep. 2013,7.8,3419,Sheldon and Penny bond over missing Leonard. Howard tries to help Raj get over his breakup with Lucy. Amy and Bernadette take a trip together to a biology convention.
7,2,The Deception Verification,26 Sep. 2013,8.0,3374,Sheldon feels betrayed when Leonard returns from the North Sea and wants to spend his time with Penny instead of him. Howard's latest foray into helping his mother has some disastrous side effects.
7,3,The Scavenger Vortex,3 Oct. 2013,8.7,4048,The gang get competitive when they are forced to take part in Raj's scavenger hunt.
7,4,The Raiders Minimization,10 Oct. 2013,7.9,3098,"Sheldon gets mad at Amy for ruining one of his favorite movies, Raj and Stuart try to make their online dating profiles more appealing, and Leonard tries to play the sympathy card with Penny."
7,5,The Workplace Proximity,17 Oct. 2013,7.7,2956,"After a fight with Bernadette, Howard ends up on Raj's couch. Sheldon and Amy clash when Amy takes a job at the university."
7,6,The Romance Resonance,24 Oct. 2013,8.4,3527,Howard plans something special to celebrate the anniversary of his first date with Bernadette. Sheldon is conflicted when he makes a major scientific breakthrough but some details have to be corrected.
7,7,The Proton Displacement,7 Nov. 2013,7.8,3011,"Sheldon seeks payback when Arthur ""Professor Proton"" Jeffries asks Leonard for help on a project instead of him. Raj gets upset at Howard for crashing his night with the girls."
7,8,The Itchy Brain Simulation,14 Nov. 2013,7.6,2984,"Sheldon demands Leonard make up for a mistake from their past. Penny confronts Raj's ex-girlfriend, Lucy."
7,9,The Thanksgiving Decoupling,21 Nov. 2013,8.8,4134,"The gang spend Thanksgiving at Mrs. Wolowitz's house. Howard tries to bond with his father-in-law, and a mistake from Penny's past comes back to haunt her."
7,10,The Discovery Dissipation,5 Dec. 2013,7.6,2795,Leonard has to deal with the fallout of disproving Sheldon's new scientific discovery. Raj spends a week at Howard and Bernadette's apartment.
7,11,The Cooper Extraction,12 Dec. 2013,8.2,3125,"While Sheldon is at home in Texas, the rest of the gang decorate for Christmas and think about how much he has affected their lives."
7,12,The Hesitation Ramification,2 Jan. 2014,7.5,2859,"After Leonard tries to help Penny following a failed role on a TV show, she makes an important decision. Meanwhile, Raj and Stuart try to practice their social skills, and Sheldon navigates the intricacies of being funny."
7,13,The Occupation Recalibration,9 Jan. 2014,7.6,2835,Sheldon tries to relax after he is forced to take a vacation. Leonard struggles to be supportive of Penny after she quits her job. Amy receives unwanted attention from a co-worker. Bernadette seeks Stuart's help in replacing one of Howard's comic books.
7,14,The Convention Conundrum,30 Jan. 2014,8.0,3064,"When the guys can't get hold of any Comic-Con tickets, Sheldon tries to hold his own convention and ends up spending a wild night with James Earl Jones. Meanwhile, the girls try to feel more mature by going to a fancy hotel for tea."
7,15,The Locomotive Manipulation,6 Feb. 2014,8.2,3254,Sheldon and Amy take a train ride to Napa Valley with Howard and Bernadette on Valentine's Day. Leonard and Penny take Raj's dog to the vet when she accidentally eats some chocolate.
7,16,The Table Polarization,27 Feb. 2014,7.6,2733,"Leonard's purchase of a dining room table causes Sheldon to reevaluate the changes in his life. Meanwhile, Howard is offered a chance to go back to space and Bernadette struggles with whether or not to encourage him."
7,17,The Friendship Turbulence,6 Mar. 2014,7.5,2704,"After arguing with Sheldon, Howard tries to make amends by taking him to NASA headquarters in Houston. Penny has second thoughts about quitting her waitressing job when her car dies. Amy gets involved in trying to find Raj a date."
7,18,The Mommy Observation,13 Mar. 2014,7.5,2773,"When Sheldon visits his mother in Houston, he is forced to confront a new reality. Back in Pasadena, the rest of the gang reluctantly take part in Raj's Murder Mystery party."
7,19,The Indecision Amalgamation,3 Apr. 2014,8.1,3005,"While Raj is wracked with guilt when he tries to date Lucy and Emily at the same time, Penny wrestles with whether to take a role in a cheesy movie and Sheldon is torn trying to choose between two gaming systems."
7,20,The Relationship Diremption,10 Apr. 2014,8.0,2817,"Penny tries to help Sheldon when he reconsiders his ""relationship"" with String Theory. During a dinner with Howard and Bernadette, Raj discovers Howard once embarrassed himself on a date with Emily."
7,21,The Anything Can Happen Recurrence,24 Apr. 2014,7.6,2670,"When Sheldon tries to be spontaneous, it leads to unexpected friction between the girls. Meanwhile, Raj seeks Howard's help in preparing for a date with Emily."
7,22,The Proton Transmogrification,1 May 2014,7.7,2816,"As the gang celebrate Star Wars Day, Sheldon has difficulty dealing with the recent death of Arthur ""Professor Proton"" Jeffries."
7,23,The Gorilla Dissolution,8 May 2014,7.9,2809,Penny gets fired from her movie and takes a serious look at her life. Raj sees Emily on a date with another man at the movies. Howard and Bernadette have to take care of his mother after she breaks her leg.
7,24,The Status Quo Combustion,15 May 2014,8.0,2881,"Sheldon gets upset about his career, the destruction of the comic book store and Leonard and Penny's future living arrangements. Howard and Bernadette struggle to keep hold of a caregiver for Mrs. Wolowitz."
8,1,The Locomotion Interruption,22 Sep. 2014,7.2,3365,"Sheldon's trip comes to an end when he is robbed, Penny interviews for a job at Bernadette's company, and Howard is weirded out by his mother's relationship with Stuart."
8,2,The Junior Professor Solution,22 Sep. 2014,7.6,3118,"Sheldon is forced to teach a class as a Junior Professor. Meanwhile, Amy plays both sides when tension arises between Penny and Bernadette."
